Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1932,8,-0.180,-0.163,-0.154,-0.172,
1932,9,-0.142,-0.163,-0.154,-0.171,
1932,10,-0.219,-0.162,-0.154,-0.171,
1932,11,-0.141,-0.162,-0.154,-0.171,
1932,12,-0.159,-0.162,-0.153,-0.171,
1933,1,-0.073,-0.162,-0.153,-0.170,
1933,2,-0.147,-0.161,-0.153,-0.170,
1933,3,-0.132,-0.161,-0.153,-0.170,
1933,4,-0.138,-0.161,-0.152,-0.170,
1933,5,-0.147,-0.161,-0.152,-0.169,
1933,6,-0.129,-0.160,-0.152,-0.169,
1933,7,-0.143,-0.160,-0.152,-0.169,
1933,8,-0.137,-0.160,-0.151,-0.169,
1933,9,-0.090,-0.160,-0.151,-0.168,
1933,10,-0.162,-0.160,-0.151,-0.168,
1933,11,-0.189,-0.159,-0.151,-0.168,
1933,12,-0.189,-0.159,-0.151,-0.168,
1934,1,-0.176,-0.159,-0.150,-0.167,
1934,2,-0.309,-0.159,-0.150,-0.167,
1934,3,-0.299,-0.158,-0.150,-0.167,
1934,4,-0.193,-0.158,-0.150,-0.166,
1934,5,-0.217,-0.158,-0.149,-0.166,
1934,6,-0.154,-0.158,-0.149,-0.166,
1934,7,-0.171,-0.157,-0.149,-0.166,
1934,8,-0.207,-0.157,-0.149,-0.165,
1934,9,-0.176,-0.157,-0.148,-0.165,
1934,10,-0.158,-0.157,-0.148,-0.165,
1934,11,-0.217,-0.156,-0.148,-0.165,
1934,12,-0.186,-0.156,-0.148,-0.164,
1935,1,-0.170,-0.156,-0.147,-0.164,
1935,2,-0.220,-0.156,-0.147,-0.164,
1935,3,-0.192,-0.155,-0.147,-0.164,
1935,4,-0.105,-0.155,-0.147,-0.163,
1935,5,-0.175,-0.155,-0.147,-0.163,
1935,6,-0.138,-0.155,-0.146,-0.163,
1935,7,-0.171,-0.154,-0.146,-0.163,
1935,8,-0.165,-0.154,-0.146,-0.162,
1935,9,-0.179,-0.154,-0.146,-0.162,
1935,10,-0.213,-0.154,-0.145,-0.162,
1935,11,-0.083,-0.153,-0.145,-0.162,
1935,12,-0.131,-0.153,-0.145,-0.161,
1936,1,-0.167,-0.153,-0.145,-0.161,
1936,2,-0.187,-0.153,-0.144,-0.161,
1936,3,-0.138,-0.152,-0.144,-0.161,
1936,4,-0.181,-0.152,-0.144,-0.160,
